location,sublocation,rhtc_rhdc,plot no,nearest town,status,constituency,blood tr,off_landline,off_fax,off_postcode,fp,off_mob,outp,off_town,anc,imci,off_email,tb_treat,growth,ceoc,division,tb_labs,district,inp,off_pobox,facility,cots,province,in charge name,art,beoc,hbc,tb_diag,hct,c section,imm,beds,mflcode,pmtct,radiology,owner,type,youth,latitude,longitude
Mangu,Mangu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,0729-319673,Y,,,,,y,y,,Kamwangi,,Gatundu,,,Aid Intergrated Programme Mangu Dispensary,,Central,B.Njeri,y,,y,,y,,,,10019,,,Other Faith Based,Medical Clinic - Clinical officer,,,
Mangu,Gatukuyu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,,Y,,,,,,,,Kamwangi,,Gatundu,,,ASPE Medical Clinic,,Central,,,,,,,,,,10039,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ngenda,Gatundu,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,,0735-230248,Y,,,,,,,,Gatundu  South,,Gatundu,,,Bethsaida Medical Clinic (Gatundu),,Central,Mr Wainaina,,,,,,,,,10067,,,Private Medical Enterprise,Medical Clinic - Clinical officer,,,
Mangu,Gatukuyu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,,Y,,,,,,,,Kamwangi,,Gatundu,,,Charity Medical Clinic,2,Central,,,,,,,,,6,10090,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Mangu,Gachege,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,0734-905216,Y,,Y,Y,,Y,Y,,Kamwangi,,Gatundu,,,Gachege Dispensary,,Central,Mrs Mariagorret,Y,Y,,Y,Y,,Y,,10194,Y,,Ministry of Health,Dispensary,,,
Kiganjo,Gachika,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,y,0733-999650,Y,,y,,,y,y,,Gatundu South,,Gatundu,,,Gachika Dispensary,,Central,Mrs Gladys Chege,,,,,y,,y,,10195,y,,Ministry of Health,Dispensary,,,
Mangu,Gakoe,,,Gatundutown,Operational,GATUNDU NORTH,,061-30318,,10100,Y,0734-687120,Y,,Y,Y,,Y,Y,,Kamwangi,,Gatundu,,,Gakoe Dispensary,,Central,M/S N. Njogu,,Y,,,y,,Y,,10202,Y,,Ministry of Health,Dispensary,,,
Mangu,Gatukuyu,,,Gatundutown,Operational,GATUNDU NORTH,,,,10100,Y,,Y,,Y,,,,Y,,Kamwangi,,Gatundu,,,Gatukuyu Medical Clinic,,Central,,,Y,,,,,Y,,10231,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ngenda,Githuguchu,,,Gatundutown,Operational,GATUNDU SOUTH,,061-74024,,10100,Y,0721-379241,Y,,Y,,,y,Y,y,Gatundu South,Y,Gatundu,y,,Gatundu District Hospital,11,Central,Dr Toto,,Y,y,y,y,y,Y,107,10233,Y,y,Ministry of Health,Primary Hospital,y,,
Kiamwangi,Kiamworia,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,y,0720-721264,Y,,y,,,Y,y,,Gatundu South,,Gatundu,,,Gitare Dispensary (Gatundu),,Central,Mr Ayub,y,,y,,y,,y,,10257,,,Ministry of Health,Dispensary,,,
Chania,Gituamba,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,0722-481085,Y,,,,,,,,Kamwangi,,Gatundu,,,Gituamba Medical Clinic,,Central,M Kamau,,,,,,,,,10278,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ndarugu,Gitwe,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,,0735-230248,Y,,,,,,,,Gatundu South,,Gatundu,,,Gitwe Medical Clinic,,Central,Mr M Ngugi,,,,,,,,,10284,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Kiganjo,Kiganjo,,,Gatundutown,Operational,GATUNDU SOUTH,,,,10100,Y,0724-338405,Y,,Y,,,,Y,,Gatundu South,,Gatundu,,,Hope Medical Clinic (Gatundu South),,Central,Mrs Margaret,,,,Y,Y,,Y,,10323,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Mangu,Mangu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,,Y,,Y,,,,Y,,Kamwangi,,Gatundu,,,Huruma Medical Clinic (Gatundu),,Central,,,Y,,Y,Y,,Y,,10329,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Mangu,Karura,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,0721-359372,Y,,y,,,y,Y,,Kamwangi,,Gatundu,y,,Igegania Health Centre,4,Central,Dr Muya,y,Y,y,,y,,y,10,10338,Y,,Ministry of Health,Health Centre,,,
